Topic,temperature1,temperature2,AverageSimilarity
1,2.0,0.0,0.87062806
1,2.0,0.25,0.87062806
1,2.0,0.5,0.8709828
1,2.0,0.75,0.8712059
1,2.0,1.0,0.87133765
1,2.0,1.25,0.87027436
1,2.0,1.5,0.87037224
1,2.0,1.75,0.8702861
1,2.0,2.0,0.8606128
2,0.0,0.0,1.0
2,0.0,0.25,0.99377096
2,0.0,0.5,0.986102
2,0.0,0.75,0.9648416
2,0.0,1.0,0.9671038
2,0.0,1.25,0.91914004
2,0.0,1.5,0.8857095
2,0.0,1.75,0.8805751
2,0.0,2.0,0.76112646
2,0.25,0.0,0.9937709
2,0.25,0.25,0.98816484
2,0.25,0.5,0.98067045
2,0.25,0.75,0.9608445
2,0.25,1.0,0.9628424
2,0.25,1.25,0.9168398
2,0.25,1.5,0.88539386
2,0.25,1.75,0.8806856
2,0.25,2.0,0.7618912
2,0.5,0.0,0.986102
2,0.5,0.25,0.98067045
2,0.5,0.5,0.9739431
2,0.5,0.75,0.95523834
2,0.5,1.0,0.95688736
2,0.5,1.25,0.91487104
2,0.5,1.5,0.88326555
2,0.5,1.75,0.88040435
2,0.5,2.0,0.7613135
2,0.75,0.0,0.9648416
2,0.75,0.25,0.9608444
2,0.75,0.5,0.95523834
2,0.75,0.75,0.94065386
2,0.75,1.0,0.94139975
2,0.75,1.25,0.9072481
2,0.75,1.5,0.8794693
2,0.75,1.75,0.87943435
2,0.75,2.0,0.76111394
2,1.0,0.0,0.9671037
2,1.0,0.25,0.96284235
2,1.0,0.5,0.95688736
2,1.0,0.75,0.9413997
2,1.0,1.0,0.94268644
2,1.0,1.25,0.9064922
2,1.0,1.5,0.8784965
2,1.0,1.75,0.876964
2,1.0,2.0,0.7601539
2,1.25,0.0,0.91914004
2,1.25,0.25,0.9168398
2,1.25,0.5,0.91487104
2,1.25,0.75,0.90724814
2,1.25,1.0,0.90649223
2,1.25,1.25,0.893183
2,1.25,1.5,0.86814666
2,1.25,1.75,0.87581617
2,1.25,2.0,0.7597978
2,1.5,0.0,0.8857095
2,1.5,0.25,0.8853939
2,1.5,0.5,0.8832657
2,1.5,0.75,0.8794693
2,1.5,1.0,0.8784965
2,1.5,1.25,0.86814666
2,1.5,1.5,0.855569
2,1.5,1.75,0.8577382
2,1.5,2.0,0.75144386
2,1.75,0.0,0.8805752
2,1.75,0.25,0.88068575
2,1.75,0.5,0.88040435
2,1.75,0.75,0.87943435
2,1.75,1.0,0.876964
2,1.75,1.25,0.87581617
2,1.75,1.5,0.85773814
2,1.75,1.75,0.8704753
2,1.75,2.0,0.75726974
2,2.0,0.0,0.76112646
2,2.0,0.25,0.7618912
2,2.0,0.5,0.7613135
2,2.0,0.75,0.76111394
2,2.0,1.0,0.7601539
2,2.0,1.25,0.7597978
2,2.0,1.5,0.7514439
2,2.0,1.75,0.7572697
2,2.0,2.0,0.6875395
3,0.0,0.0,1.0000001
3,0.0,0.25,1.0000001
3,0.0,0.5,0.98198265
3,0.0,0.75,0.9656908
3,0.0,1.0,0.91866434
3,0.0,1.25,0.87371475
3,0.0,1.5,0.88900393
3,0.0,1.75,0.85435945
3,0.0,2.0,0.7346393
3,0.25,0.0,1.0000001
3,0.25,0.25,1.0000001
3,0.25,0.5,0.98198265
3,0.25,0.75,0.9656908
3,0.25,1.0,0.91866434
3,0.25,1.25,0.87371475
3,0.25,1.5,0.88900393
3,0.25,1.75,0.85435945
3,0.25,2.0,0.7346393
3,0.5,0.0,0.98198265
3,0.5,0.25,0.98198265
3,0.5,0.5,0.9674826
3,0.5,0.75,0.9511752
3,0.5,1.0,0.9106917
3,0.5,1.25,0.8676957
3,0.5,1.5,0.88577294
3,0.5,1.75,0.8530829
3,0.5,2.0,0.7357653
3,0.75,0.0,0.9656908
3,0.75,0.25,0.9656908
3,0.75,0.5,0.95117533
3,0.75,0.75,0.940385
3,0.75,1.0,0.90534437
3,0.75,1.25,0.86437505
3,0.75,1.5,0.8792934
3,0.75,1.75,0.8503066
3,0.75,2.0,0.73084176
3,1.0,0.0,0.9186642
3,1.0,0.25,0.9186642
3,1.0,0.5,0.9106917
